,x,y,z,labels
572,15.462022,32.00096,30.227339,97
573,-54.234344,68.746086,-7.7743344,19
574,80.970665,-27.586435,9.091387,120
575,-61.428127,30.90826,4.3449526,7
576,11.661515,-50.968727,32.52733,27
577,-7.3192673,-63.627743,-28.236956,66
578,-16.513489,-56.2759,-42.27936,66
579,3.4779596,-21.196232,24.74432,91
580,-60.925835,25.934963,21.017445,-1
581,8.326738,-17.596773,-101.57709,122
582,-65.46497,-65.50746,16.56157,109
583,3.737405,78.94977,-9.875275,-1
584,-54.230793,58.02603,-7.3161936,19
585,8.326738,-17.596773,-101.57709,122
586,53.877033,7.5370755,-70.13347,76
587,-35.903717,-10.209308,-78.61212,124
588,9.667934,63.061237,16.0648,24
589,72.09948,6.856583,-25.311415,123
590,-80.953636,6.8247027,62.153564,4
591,-33.019455,35.27812,-71.70145,18
592,-77.230576,7.552993,-39.134712,6
593,-20.045284,48.11562,-7.4292755,-1
594,10.698691,64.79263,-58.767284,52
595,-61.799465,-59.004326,17.172506,109
596,-18.276146,-43.790443,74.28146,53
597,35.2256,37.69516,-38.180943,25
598,-34.143856,75.82633,7.793005,9
599,66.4163,-54.997704,-12.11206,29
600,33.39801,11.666512,-2.336132,103
601,13.028769,-12.84208,-28.666773,88
602,32.67181,-52.031845,-8.931306,27
603,2.0881846,63.0438,-72.40105,52
604,3.7049248,-13.925414,71.053085,106
605,5.329709,-27.102694,-48.39831,42
606,-42.42758,0.5779518,-81.98303,-1
607,-68.55577,9.585642,-30.301752,6
608,-31.277733,0.632852,-93.598465,124
609,5.072191,-54.093414,28.224314,27
610,-49.935883,71.25005,-11.309376,19
611,-25.404156,61.751057,73.06301,0
612,-11.786463,1.5489665,89.2264,100
613,34.830524,0.271032,-22.898758,-1
614,27.888208,65.3886,-18.297392,110
615,5.6998286,32.806145,-94.82847,15
616,66.53504,-8.7122755,55.03481,61
617,-32.12458,-98.67073,11.556154,93
618,47.295303,28.514626,-18.245434,30
619,-70.61966,5.474842,-55.829998,6
620,-47.96926,11.50882,-17.37472,125
621,-14.831983,80.62963,-32.847176,112
622,-43.226627,-5.117437,-31.314894,-1
623,4.6249228,10.2498455,-6.5693455,116
624,93.321014,25.616625,-21.07605,45
625,50.270935,0.47151563,10.1571455,1
626,-86.25972,-18.152887,-3.0381465,3
627,-47.690315,16.603045,-9.354554,125
628,-87.95704,13.12994,54.821835,4
629,-13.782891,20.991512,46.21917,11
630,53.50487,71.43581,-24.314177,23
631,82.1126,15.460955,-43.17519,16
632,75.27637,-4.524367,-31.585665,70
633,-71.86861,-6.3551087,24.510035,-1
634,-60.47457,45.845757,-20.931883,19
635,33.6873,24.435791,61.033985,126
636,34.00295,44.90021,6.07399,13
637,-17.58055,18.577272,-67.35257,-1
638,12.456432,109.15979,27.12718,96
639,-75.64279,8.11003,-51.288174,6
640,-31.66319,39.306236,-75.53746,18
641,6.6593037,14.3898115,39.855118,5
642,1.6830372,27.045435,-77.38204,-1
643,16.042274,72.18402,-42.17949,28
644,38.27608,-31.74029,5.339073,-1
645,-87.779884,-6.7247024,-6.5464435,3
646,-34.074196,22.419786,-65.964355,-1
647,-15.1594925,42.2698,-24.766521,104
648,-53.563835,52.504753,-25.4822,19
649,12.439455,-8.672566,80.11725,106
650,37.01651,-26.017057,71.71113,-1
651,5.6998286,32.806145,-94.82847,15
652,42.220036,-7.460928,0.36261925,1
653,-65.36074,-71.46236,20.773705,109
654,34.211525,-8.91395,45.364544,73
655,76.23367,10.330489,22.066092,39
656,-48.1933,52.104214,29.749826,105
657,57.674503,10.820235,-79.0629,76
658,-34.257362,77.17318,26.038446,9
659,80.26314,-18.105433,18.304218,120
660,12.615528,-50.2666,9.938359,27
661,63.77047,19.691427,43.701996,20
662,8.472505,41.94289,-88.18717,15
663,-26.49528,17.078602,-36.908524,65
664,11.628638,27.124598,-80.26609,15
665,52.82323,1.5856215,69.41366,-1
666,-49.275166,48.99412,-27.752016,19
667,15.139671,28.034496,-10.845443,127
